River,Location within the river,Predation level,Group or single,Group size,Number of approaches to the True stimulus,Number of approaches to the False stimulus,First approach (to True or False stimulus)
Turure,upper,low,group,6.5,7,0,t
Turure,upper,low,group,7,9,0,t
Turure,upper,low,singleton,1,0,0,NA
Turure,upper,low,group,2.5,0,0,NA
Turure,upper,low,group,4,3,0,t
Turure,upper,low,group,3.5,1,0,t
Turure,upper,low,group,17.5,0,1,f
Turure,upper,low,group,2,1,0,t
Turure,upper,low,group,8,0,0,NA
Turure,upper,low,group,9,4,0,t
Turure,upper,low,group,13.5,8,1,t
Turure,upper,low,group,40,0,1,f
Turure,upper,low,group,4.5,3,1,f
Turure,upper,low,group,9,4,1,f
Turure,upper,low,group,20,9,4,t
Turure,upper,low,group,10,10,3,t
Turure,upper,low,group,10.5,3,1,t
Turure,upper,low,group,18,2,0,t
Turure,upper,low,group,4,1,1,t
Turure,upper,low,group,8.5,1,1,t
Turure,upper,low,group,3.5,5,2,f
Turure,upper,low,group,5,3,1,t
Turure,upper,low,group,4.5,1,1,t
Turure,upper,low,group,2,5,2,f
Turure,upper,low,group,4.5,13,4,t
Turure,upper,low,group,4,5,2,t
Turure,upper,low,group,3,3,0,t
Turure,upper,low,group,5,5,1,t
Turure,upper,low,group,4,0,0,NA
Turure,upper,low,group,4,1,0,t
Turure,upper,low,group,8,2,0,t
Turure,upper,low,group,15,1,0,t
Turure,upper,low,group,2,0,1,f
Turure,upper,low,singleton,1,2,1,t
Turure,upper,low,group,4,3,0,NA
Turure,upper,low,group,3,0,0,NA
Turure,upper,low,group,3,1,0,NA
Turure,upper,low,group,2.5,2,1,t
Turure,upper,low,group,10,2,0,t
Turure,upper,low,group,17.5,3,0,t
Turure,upper,low,group,5,2,0,t
Turure,upper,low,group,20,2,0,t
Turure,lower,low,group,4,2,1,f
Turure,lower,low,group,3,0,1,f
Turure,lower,low,group,2,0,1,f
Turure,lower,low,singleton,1,0,0,NA
Turure,lower,low,group,4,0,2,f
Turure,lower,low,singleton,1,2,0,t
Turure,lower,low,group,6,4,2,t
Turure,lower,low,singleton,1,0,3,f
Turure,lower,low,group,3,1,1,f
Turure,lower,low,group,10,2,3,f
Turure,lower,low,group,15,4,2,f
Turure,lower,low,group,9,2,2,t
Turure,lower,low,group,18,0,0,NA
Turure,lower,low,singleton,1,3,0,t
Turure,lower,low,group,4,6,4,t
Turure,lower,low,group,4,4,4,f
Turure,lower,low,group,3,0,1,f
Turure,lower,low,group,8,4,0,t
Turure,lower,low,group,2,0,2,f
Turure,lower,low,group,2,3,1,t
Turure,lower,low,group,4,12,0,t
Turure,lower,low,group,4,4,0,t
Turure,lower,low,group,3,6,4,t
Turure,lower,low,singleton,1,1,3,t
Turure,lower,low,group,3,1,0,t
Turure,lower,low,group,4,2,3,t
Turure,lower,low,singleton,1,5,5,f
Turure,lower,low,singleton,1,6,2,t
Turure,lower,low,group,8,0,1,f
Turure,lower,low,singleton,1,0,0,NA
Turure,lower,low,group,12,3,0,t
Turure,lower,low,group,20,1,0,t
Turure,lower,low,group,15,5,0,t
Turure,lower,low,group,20,4,1,f
Turure,lower,low,group,5,1,1,f
Turure,lower,low,group,6,2,1,t
Turure,lower,low,group,10,0,0,NA
Turure,lower,low,group,3,2,1,f
Turure,lower,low,group,5,1,1,t
Turure,lower,low,singleton,1,1,0,t
Turure,lower,low,group,3,1,0,t
Turure,lower,low,group,10,1,1,f
Turure,lower,low,singleton,1,0,2,f
Turure,lower,low,group,8,0,1,f
Turure,lower,low,group,2,2,0,t
Turure,lower,low,group,3,4,1,t
Turure,lower,low,group,10,1,0,t
Turure,lower,low,group,8,1,1,t
Turure,lower,low,group,7,1,1,t
Turure,lower,low,group,15,2,1,t
Turure,lower,low,group,20,0,1,f
Turure,lower,low,group,30,0,0,NA
Turure,lower,low,group,25,1,1,t
Turure,lower,low,group,15,0,0,NA
Turure,lower,low,group,8,0,1,f
Turure,lower,low,group,2,1,0,t
Turure,lower,low,singleton,1,3,0,t
Turure,lower,low,group,2,2,2,t
Turure,lower,low,group,5,1,0,t
Turure,lower,low,group,3,2,2,t
Turure,lower,low,group,7,1,0,t
Turure,lower,low,group,3,2,2,t
Turure,lower,low,group,8,4,1,t
Turure,lower,low,group,10,3,2,f
Turure,lower,low,group,5,1,1,f
Turure,lower,low,group,4,2,4,f
Turure,lower,low,group,7,1,1,f
Turure,lower,low,group,8,0,1,f
Turure,lower,low,group,2,0,0,NA
Turure,lower,low,group,3,1,1,t
Turure,lower,high,group,20,0,0,NA
Turure,lower,high,group,30,0,0,NA
Turure,lower,high,group,2,1,0,t
Turure,lower,high,group,15,0,1,f
Turure,lower,high,group,19,0,2,f
Turure,lower,high,group,3,0,1,f
Turure,lower,high,group,15,1,2,t
Turure,lower,high,group,50,0,0,NA
Turure,lower,high,group,30,0,0,NA
Aripo,upper,low,group,4,1,1,t
Aripo,upper,low,group,3,1,3,f
Aripo,upper,low,group,5,1,1,f
Aripo,upper,low,group,2,0,0,NA
Aripo,upper,low,singleton,1,0,0,NA
Aripo,upper,low,group,10,7,1,t
Aripo,upper,low,group,10,1,1,f
Aripo,upper,low,group,20,0,0,NA
Aripo,upper,low,group,10,2,0,t
Aripo,upper,low,singleton,1,1,1,t
Aripo,upper,low,group,3,5,2,t
Aripo,upper,low,group,5,1,0,t
Aripo,upper,low,group,3,1,1,f
Aripo,upper,low,group,5,2,1,t
Aripo,upper,low,group,5,8,3,t
Aripo,upper,low,group,20,0,0,NA
Aripo,upper,low,group,5,0,0,NA
Aripo,upper,low,singleton,1,5,3,f
Aripo,upper,low,group,7,0,3,f
Aripo,upper,low,group,30,1,4,f
Aripo,upper,low,group,10,1,0,t
Aripo,upper,low,group,30,1,0,t
Aripo,upper,low,group,15,2,1,t
Aripo,upper,low,group,6,0,0,NA
Aripo,upper,low,group,30,2,0,t
Aripo,upper,low,group,3,0,1,f
Aripo,upper,low,group,10,2,1,f
Aripo,upper,low,group,25,2,0,t
Aripo,upper,low,group,10,1,0,t
Aripo,upper,low,group,4,0,0,NA
Aripo,upper,low,group,10,1,0,t
Aripo,upper,low,group,30,3,0,t
Aripo,upper,low,group,30,2,1,f
Aripo,upper,low,group,4,1,0,t
Turure,upper,low,group,3,6,2,f
Turure,upper,low,group,3,3,0,t
Turure,upper,low,group,4,1,1,t
Turure,upper,low,singleton,1,0,0,NA
Turure,upper,low,group,4,0,1,f
Turure,upper,low,group,3,0,2,f
Turure,upper,low,group,2,4,3,t
Turure,upper,low,group,9,1,0,t
Turure,upper,low,group,11,2,2,f
Turure,upper,low,group,9,2,0,t
Turure,upper,low,group,6,0,0,NA
Turure,upper,low,group,8,9,4,f
Turure,upper,low,group,10,3,1,t
Turure,upper,low,group,25,1,1,t
Turure,upper,low,singleton,1,1,1,t
Turure,upper,low,group,4,4,0,t
Turure,upper,low,group,8,2,3,f
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,group,2,4,0,t
Turure,upper,low,group,4,5,3,t
Turure,upper,low,group,4,1,1,t
Turure,upper,low,group,2,1,0,t
Turure,upper,low,group,2,1,0,t
Turure,upper,low,singleton,1,0,2,f
Turure,upper,low,group,2,3,0,t
Turure,upper,low,group,2,8,1,t
Turure,upper,low,group,4,0,0,NA
Turure,upper,low,group,3,4,0,t
Turure,upper,low,singleton,1,1,0,t
Turure,upper,low,group,3,9,0,t
Turure,upper,low,group,3,1,1,t
Turure,upper,low,singleton,1,0,0,NA
Turure,upper,low,singleton,1,0,2,f
Turure,upper,low,group,6,2,1,f
Turure,upper,low,singleton,1,6,1,t
Turure,upper,low,group,5,8,3,t
Turure,upper,low,group,6,1,0,t
Turure,upper,low,group,10,0,0,NA
Turure,upper,low,group,6,1,0,t
Turure,upper,low,singleton,1,0,1,f
Turure,upper,low,group,3,3,0,t
Turure,upper,low,group,3,0,0,NA
Turure,upper,low,group,7,2,0,t
Turure,upper,low,singleton,1,0,0,NA
Turure,upper,low,group,2,0,1,f
Turure,upper,low,group,4,0,1,f
Turure,upper,low,group,15,2,0,t
Turure,upper,low,group,5,0,0,NA
